tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2000-339,Adelaide,Hard,32,A,2000-01-03,1,102358,1.0,STD,Thomas Enqvist,R,190.0,SWE,25.7,103096,100.0,STD,Arnaud Clement,R,173.0,FRA,22.0,6-3 6-4,3,R32,76.0,6.0,0.0,66.0,29.0,23.0,23.0,10.0,2.0,2.0,1.0,3.0,59.0,37.0,25.0,13.0,9.0,2.0,4.0,4.0,2606.0,56.0,805.0
2000-339,Adelaide,Hard,32,A,2000-01-03,2,103819,100.0,STD,Roger Federer,R,185.0,SUI,18.3,102533,100.0,STD,Jens Knippschild,R,190.0,GER,24.8,6-1 6-4,3,R32,45.0,6.0,3.0,46.0,28.0,24.0,12.0,9.0,0.0,0.0,3.0,5.0,42.0,15.0,13.0,12.0,8.0,0.0,3.0,64.0,749.0,91.0,525.0
2000-339,Adelaide,Hard,32,A,2000-01-03,3,102998,100.0,STD,Jan Michael Gambill,R,190.0,USA,22.5,101885,100.0,STD,Wayne Arthurs,L,190.0,AUS,28.7,3-6 7-6(5) 6-4,3,R32,115.0,8.0,3.0,81.0,40.0,35.0,28.0,15.0,0.0,1.0,26.0,2.0,103.0,59.0,49.0,22.0,16.0,4.0,5.0,58.0,803.0,105.0,449.0
2000-339,Adelaide,Hard,32,A,2000-01-03,4,103206,7.0,STD,Sebastien Grosjean,R,175.0,FRA,21.5,102776,100.0,STD,Andrew Ilie,R,180.0,AUS,23.6,6-2 6-1,3,R32,65.0,4.0,2.0,66.0,35.0,28.0,14.0,7.0,4.0,4.0,0.0,3.0,49.0,22.0,12.0,8.0,8.0,1.0,6.0,27.0,1298.0,54.0,845.0
2000-339,Adelaide,Hard,32,A,2000-01-03,5,102796,3.0,STD,Magnus Norman,R,188.0,SWE,23.5,102401,100.0,WC,Scott Draper,L,178.0,AUS,25.5,6-4 6-4,3,R32,68.0,6.0,2.0,52.0,32.0,26.0,12.0,10.0,0.0,1.0,4.0,2.0,73.0,40.0,25.0,16.0,10.0,7.0,10.0,15.0,1748.0,154.0,297.0
2000-339,Adelaide,Hard,32,A,2000-01-03,6,101735,100.0,STD,Richard Fromberg,R,196.0,AUS,29.6,101889,100.0,WC,Todd Woodbridge,R,178.0,AUS,28.7,7-6(5) 5-7 6-4,3,R32,144.0,6.0,4.0,111.0,70.0,43.0,26.0,17.0,7.0,12.0,1.0,7.0,116.0,67.0,43.0,24.0,17.0,8.0,13.0,78.0,572.0,197.0,216.0
2000-339,Adelaide,Hard,32,A,2000-01-03,7,102872,100.0,STD,James Sekulov,R,180.0,AUS,23.2,101150,100.0,STD,Gianluca Pozzi,L,180.0,ITA,34.5,6-4 2-6 6-2,3,R32,89.0,2.0,3.0,74.0,50.0,32.0,14.0,13.0,3.0,6.0,8.0,5.0,64.0,26.0,22.0,17.0,13.0,2.0,6.0,144.0,325.0,94.0,502.0
2000-339,Adelaide,Hard,32,A,2000-01-03,8,103252,100.0,STD,Alberto Martin,R,175.0,ESP,21.3,102434,5.0,STD,Vincent Spadea,R,183.0,USA,25.4,6-2 6-2,3,R32,53.0,0.0,2.0,42.0,24.0,20.0,10.0,8.0,0.0,1.0,0.0,1.0,44.0,24.0,14.0,5.0,8.0,2.0,7.0,57.0,805.0,20.0,1542.0
2000-339,Adelaide,Hard,32,A,2000-01-03,9,103720,6.0,STD,Lleyton Hewitt,R,180.0,AUS,18.8,101185,100.0,STD,Mark Woodforde,L,188.0,AUS,34.2,6-3 2-6 6-1,3,R32,108.0,0.0,4.0,71.0,39.0,27.0,18.0,12.0,5.0,8.0,2.0,2.0,82.0,48.0,31.0,13.0,12.0,11.0,16.0,25.0,1429.0,130.0,362.0
2000-339,Adelaide,Hard,32,A,2000-01-03,10,103162,100.0,WC,Dejan Petrovic,R,186.27336318231923,SRB,21.7,101902,100.0,STD,Stephane Huet,L,180.0,FRA,28.6,3-6 6-3 6-3,3,R32,98.0,4.0,1.0,88.0,38.0,27.0,25.0,14.0,5.0,9.0,2.0,6.0,73.0,26.0,17.0,25.0,13.0,5.0,10.0,205.0,198.0,127.0,369.0
2000-339,Adelaide,Hard,32,A,2000-01-03,11,102652,100.0,Q,Christian Vinck,L,183.0,GER,24.3,102834,100.0,STD,Paul Goldstein,R,178.0,USA,23.3,3-6 6-3 6-4,3,R32,115.0,7.0,2.0,96.0,55.0,35.0,22.0,14.0,8.0,11.0,2.0,6.0,85.0,54.0,39.0,12.0,14.0,5.0,9.0,230.0,179.0,89.0,531.0
2000-339,Adelaide,Hard,32,A,2000-01-03,12,101727,100.0,STD,Jason Stoltenberg,R,185.0,AUS,29.7,103103,4.0,STD,Dominik Hrbaty,R,183.0,SVK,21.9,6-3 6-1,3,R32,59.0,4.0,1.0,47.0,31.0,25.0,10.0,8.0,3.0,3.0,4.0,5.0,67.0,43.0,24.0,9.0,8.0,3.0,7.0,80.0,562.0,21.0,1499.0
